player,position,shoots
Jack Coleman,Power,Right
Bimbo Coles,Point,Right
Jason Collier,Center,Left
Art Collins,Shooting,Right
Don Collins,Small,Right
Jason Collins,Center,Right
John Collins,Power,Right
Sean Colson,Point,Right
Chuck Cooper,Small,Right
Sharife Cooper,Point,Right
Tyrone Corbin,Small,Right
Ray Corley,Guard,Right
Allen Crabbe,Shooting,Right
Chris Crawford,Power,Right
Jamal Crawford,Shooting,Right
Jordan Crawford,Shooting,Right
Jim Creighton,Small,Right
Charlie Criss,Point,Right
Dillard Crocker,Power,Right
Jarrett Culver,Shooting,Right
Jared Cunningham,Shooting,Right
Erick Dampier,Center,Right
Pete Darcey,Center,Right
Jimmy Darrow,Guard,Right
Deyonta Davis,Center,Right
Emanual Davis,Point,Right
Jim Davis,Center,Right
Johnny Davis,Shooting,Right
Josh Davis,Power,Right
Ron Davis,Small,Right
Walt Davis,Power,Right
Austin Daye,Small,Right
Dewayne Dedmon,Center,Right
Archie Dees,Power,Right
Malcolm Delaney,Point,Right
Tony Delk,Point,Right
Nate DeLong,Center,Right
Randy Denton,Center,Right
Hank DeZonie,Center/Forward,Right
Boris Diaw,Power,Right
Dan Dickau,Point,Right
Henry Dickerson,Point,Right
Gorgui Dieng,Center,Right
Fred Diute,Shooting,Right
Tyler Dorsey,Shooting,Right
John Drew,Small,Right
Predrag Drobnjak,Center,Right
Bob Duffy,Point,Right
Mike Dunleavy,Small,Right
Kris Dunn,Point,Right
Dennis DuVal,Point,Right
Gene Dyker,Forward,Right
Jerry Eaves,Point,Left
Dike Eddleman,Small,Right
Keith Edmonson,Shooting,Right
Doug Edwards,Power,Right
John Edwards,Center,Right
Craig Ehlo,Shooting,Right
Rich Eichhorst,Guard,Right
Obinna Ekezie,Power,Right
LaPhonso Ellis,Power,Right
Gene Englund,Forward/Center,Right
Jeremy Evans,Small,Right
Maurice Evans,Shooting,Right
Mike Farmer,Small,Right
George Feigenbaum,Point,Right
Bruno Fernando,Center,Right
Al Ferrari,Shooting,Right
Duane Ferrell,Small,Right
Bob Ferry,Center,Right
Trent Forrest,Shooting,Right
Greg Foster,Power,Right
Larry Foust,Center,Right
Jerry Fowler,Center,Right
Matt Freije,Power,Right
Hiram Fuller,Power,Right
Terry Furlow,Shooting,Right
Danilo Gallinari,Small,Right
Dave Gambee,Small,Right
Thomas Gardner,Shooting,Right
Ed Gayda,Guard/Forward,Right
Dee Gibson,Forward/Guard,Right
Herm Gilliam,Shooting,Right
Jack Givens,Small,Left
Mike Glenn,Shooting,Right
Dion Glover,Shooting,Right
Brandon Goodwin,Point,Right
Joe Graboski,Power,Right
Ricky Grace,Point,Left
Paul Graham,Shooting,Right
Treveon Graham,Shooting,Right
Ron Grandison,Power,Right
Stewart Granger,Point,Right
Ed Gray,Shooting,Right
Si Green,Point,Right
Willie Green,Shooting,Right
Gary Gregor,Small,Right
AJ Griffin,Small,Right
Anthony Grundy,Shooting,Right
Richie Guerin,Shooting,Right
Mouhamed Gueye,Power,Right
Tom Gugliotta,Power,Right
Cliff Hagan,Small,Right
Shaler Halimon,Small,Left
Jeff Halliburton,Shooting,Right
Darvin Ham,Small,Right
Daniel Hamilton,Shooting,Right
Dennis Hamilton,Power,Right
Darrin Hancock,Small,Right
Alex Hannum,Power,Right
Travis Hansen,Small,Right
Tim Hardaway Jr.,Shooting,Right
John Hargis,Guard/Forward,Right
Skip Harlicka,Point,Right
Al Harrington,Power,Right
Chris Harris,Shooting,Right
Devin Harris,Point,Right
Bob Harrison,Shooting,Right
Antonio Harvey,Power,Right
Billy Hassett,Guard,Right
Scott Hastings,Power,Right
Vern Hatton,Shooting,Right
Steve Hawes,Power,Right
Connie Hawkins,Small,Right
Walt Hazzard,Point,Right
Alan Henderson,Power,Right
Cedric Henderson,Power,Right
Tom Henderson,Point,Right
Bill Henry,Center,Right
Steve Henson,Point,Right
Kleggie Hermsen,Center/Forward,Right
Keith Herron,Shooting,Right
Armond Hill,Point,Right
Cleo Hill,Shooting,Right
Malcolm Hill,Small,Right
Solomon Hill,Small,Right
Kirk Hinrich,Point,Right
Lew Hitch,Power,Right
Aaron Holiday,Point,Right
Justin Holiday,Shooting,Right
Wilbur Holland,Shooting,Left
Red Holzman,Point,Right
Tom Hoover,Center,Right
Al Horford,Center,Right
Ron Horn,Small,Right
Bob Houbregs,Center,Right
Tom Hovasse,Small,Right
Dwight Howard,Center,Right
Lou Hudson,Shooting,Right
Kevin Huerter,Shooting,Right
Isaac Humphries,Center,Right
Kris Humphries,Power,Right
De'Andre Hunter,Small,Right
Othello Hunter,Small,Right
Mel Hutchins,Power,Right
Ersan İlyasova,Power,Right
Tom Ingelsby,Point,Right
Royal Ivey,Shooting,Right
Wes Iwundu,Small,Right
Jermaine Jackson,Shooting,Right
Jim Jackson,Small,Right
Stephen Jackson,Small,Right
Henry James,Power,Right
John Jenkins,Shooting,Right
Anthony Johnson,Point,Right
B.J. Johnson,Small,Left
DerMarr Johnson,Small,Right
Eddie Johnson,Shooting,Right
George Johnson,Center,Right
Ivan Johnson,Power,Right
Jalen Johnson,Small,Right
Joe Johnson,Shooting,Right
Ollie Johnson,Small,Right
Dahntay Jones,Small,Right
Damian Jones,Center,Right
Dwight Jones,Power,Right
Solomon Jones,Power,Right
Reggie Jordan,Shooting,Left
Phil Jordon,Center,Right
Noble Jorgensen,Center,Right
Frank Kaminsky,Center,Right
Bob Kauffman,Power,Right
Adam Keefe,Power,Right
Ryan Kelly,Power,Right
Tim Kempton,Power,Right
Jack Kerris,Power,Right
Walt Kirk,Point,Right
Brevin Knight,Point,Right
Nathan Knight,Power,Right
Kevin Knox,Small,Right
Jon Koncak,Center,Right
Kyle Korver,Shooting,Right
Vit Krejci,Point,Right
Tommy Kron,Shooting,Right
Toni Kukoč,Small,Left
Fred LaCour,Point,Right
Christian Laettner,Power,Right
Mark Landsberger,Power,Right
Andrew Lang,Center,Right
Priest Lauderdale,Center,Left
Bob Lavoy,Power,Right
Acie Law,Point,Left
Butch Lee,Point,Right
Clyde Lee,Center,Right
Damion Lee,Shooting,Right
Ron Lee,Point,Left
George Lehmann,Point,Right
Alex Len,Center,Right
Gary Leonard,Center,Right
Jim Les,Point,Right
Andrew Levane,Shooting,Right
Cliff Levingston,Power,Right
Jeremy Lin,Point,Right
Randy Livingston,Point,Right
Don Lofgran,Small,Right
John Logan,Guard,Right
Grant Long,Power,Right
John Long,Shooting,Right
Clyde Lovellette,Center,Right
Sidney Lowe,Point,Right
Tyronn Lue,Point,Right
Timothé Luwawu-Cabarrot,Small,Right
Ed Macauley,Center,Right
Ronnie MacGilvray,Point,Right
Shelvin Mack,Point,Right
Rudy Macklin,Small,Right
Josh Magette,Point,Left
John Mahnken,Center,Right
Moses Malone,Center,Right
Matt Maloney,Point,Right
Danny Manning,Power,Right
Pace Mannion,Small,Right
Nick Mantis,Shooting,Right
Pete Maravich,Shooting,Right
Roy Marble,Small,Right
Cartier Martin,Small,Right
Phil Martin,Small,Right
Slater Martin,Point,Right
Tyrese Martin,Shooting,Right
Al Masino,Point,Right
Eddie Mast,Power,Right
Garrison Mathews,Shooting,Right
Wes Matthews,Point,Right
Wesley Matthews,Shooting,Right
Don May,Small,Left
Skylar Mays,Point,Right
Travis Mays,Point,Right
Ken McBride,Shooting,Right
Johnny McCarthy,Point,Right
Amal McCaskill,Center,Right
John McConathy,Forward,Right
Bucky McConnell,Point,Right
Tim McCormick,Center,Right
Jelani McCoy,Center,Right
Jim McElroy,Point,Right
Mike McGee,Small,Right
Bill McGill,Center,Right
Tracy McGrady,Shooting,Right
Roshown McLeod,Small,Right
Jack McMahon,Point,Right
Tom McMillen,Center,Left
Shellie McMillon,Small,Right
Carl McNulty,Shooting,Right
Stanislav Medvedenko,Power,Right
Dick Mehen,Power,Right
Dean Meminger,Shooting,Right
Joe Meriweather,Center,Right
Stan Miasek,Small,Right
Anthony Miller,Power,Right
Eddie Miller,Center,Right
Jay Miller,Small,Right
Patty Mills,Point,Right
Paul Millsap,Power,Right
Dave Minor,Point,Right
Nazr Mohammed,Center,Right
Sidney Moncrief,Shooting,Right
Rodney Monroe,Shooting,Right
Jackie Moore,Small,Right
Mikki Moore,Center,Right
Jaylen Morris,Shooting,Right
Randolph Morris,Center,Right
Red Morrison,Center,Right
Anthony Morrow,Shooting,Right
Hanno Möttölä,Center,Right
Jeff Mullins,Shooting,Right
Todd Mundt,Center,Right
Dejounte Murray,Point,Right
Ronald Murray,Shooting,Right
Mike Muscala,Center,Right
Dikembe Mutombo,Center,Right
Mamadou N'Diaye,Center,Right
Lee Nailon,Small,Left
Howard Nathan,Point,Right
Willie Naulls,Small,Right
Gary Neal,Shooting,Right
Ivano Newbill,Power,Right
Ira Newble,Small,Right
Dave Newmark,Center,Right
Jack Nichols,Power,Left
Bevo Nordmann,Center,Right
Ken Norman,Small,Right
George Nostrand,Center/Forward,Right
James Nunnally,Small,Right
John O'Boyle,Shooting,Right
Grady O'Malley,Forward,Right
Mike O'Neill,Small,Right
Kevin O'Shea,Shooting,Right
Don Ohl,Shooting,Right
Onyeka Okongwu,Center,Right
Brian Oliver,Shooting,Right
Cameron Oliver,Small,Right
Don Otten,Center,Right
Mac Otten,Forward/Center,Right
Red Owens,Shooting,Right
Zaza Pachulia,Center,Right
Andy Panko,Small,Right
Jannero Pargo,Point,Right
Med Park,Shooting,Right
Jabari Parker,Power,Right
Chandler Parsons,Small,Right
Lamar Patterson,Shooting,Right
Worthy Patterson,Guard,Right
Billy Paultz,Center,Right
Johnny Payak,Shooting,Right
Adreian Payne,Power,Right
Tom Payne,Center,Right
Sam Pellom,Power,Right
Warren Perkins,Guard/Forward,Right
Wesley Person,Shooting,Right
Bob Peterson,Small,Right
Ed Peterson,Center,Right
Johan Petro,Center,Right
Bob Pettit,Power,Right
John Pinone,Small,Right
Dave Piontek,Small,Right
Dexter Pittman,Center,Right
Miles Plumlee,Center,Right
Josh Powell,Power,Right
Alex Poythress,Power,Right
Taurean Prince,Power,Right
Joel Przybilla,Center,Right
Vladimir Radmanović,Power,Right
Cal Ramsey,Small,Right
Blair Rasmussen,Center,Right
George Ratkovicz,Power,Right
Theo Ratliff,Center,Right
Leo Rautins,Small,Left
Don Ray,Forward/Center,Right
Željko Rebrača,Center,Right
Eldridge Recasner,Shooting,Right
Cam Reddish,Small,Right
Hub Reed,Center,Right
Don Rehfeldt,Small,Left
John Rennicke,Guard,Right
Jeremy Richardson,Small,Right
Dick Ricketts,Power,Right
Isaiah Rider,Shooting,Right
Bob Riley,Forward,Right
Doc Rivers,Point,Right
Tony Robertson,Shooting,Right
Glenn Robinson,Small,Right
Larry Robinson,Shooting,Right
Rumeal Robinson,Point,Right
Truck Robinson,Power,Right
Ken Rohloff,Guard,Right
Phil Rollins,Shooting,Right
Tree Rollins,Center,Right
Rajon Rondo,Point,Right
Sean Rooks,Center,Right
Dan Roundfield,Power,Right
Walker Russell,Point,Right
Pepe Sánchez,Point,Left
Jeff Sanders,Power,Right
Pep Saul,Shooting,Right
Woody Sauldsberry,Power,Right
Bob Schafer,Shooting,Right
Herb Scherer,Center,Right
Dale Schlueter,Center,Right
Dennis Schröder,Point,Right
Dick Schulz,Forward/Guard,Right
Mike Scott,Power,Right
Thabo Sefolosha,Shooting,Right
Frank Selvy,Shooting,Right
Chuck Share,Center,Right
Craig Shelton,Small,Right
Jeff Sheppard,Shooting,Right
Paul Shirley,Power,Right
Jordan Sibert,Shooting,Right
Larry Siegfried,Point,Right
Paul Silas,Power,Right
Dickey Simpkins,Power,Right
Bob Sims,Shooting,Right
Reggie Slater,Power,Right
Donald Sloan,Point,Right
Donta Smith,Shooting,Right
Joe Smith,Power,Right
Josh Smith,Power,Left
Kenny Smith,Point,Right
Leon Smith,Center,Right
Randy Smith,Shooting,Right
Steve Smith,Shooting,Right
Tony Smith,Shooting,Right
Tony Snell,Shooting,Right
Dick Snyder,Shooting,Right
Mike Sojourner,Center,Right
Rory Sparrow,Point,Right
Odie Spears,Small,Right
Omari Spellman,Center,Right
Andre Spencer,Small,Right
Tiago Splitter,Center,Right
Jerry Stackhouse,Shooting,Right
Jack Stephens,Shooting,Right
Lance Stephenson,Shooting,Right
DeShawn Stevenson,Shooting,Right
Michael Stewart,Center,Right
Norm Stewart,Forward,Right
Alex Stivrins,Small,Right
Salim Stoudamire,Shooting,Left
Mark Strickland,Small,Right
Don Sunderlage,Shooting,Right
Bob Sura,Shooting,Right
Dick Surhoff,Power,Right
Pape Sy,Small,Right
Edy Tavares,Center,Right
Isaiah Taylor,Point,Right
Jeff Teague,Point,Right
Claude Terry,Shooting,Right
Jason Terry,Shooting,Right
Reggie Theus,Shooting,Right
Etan Thomas,Center,Right
James Thomas,Power,Right
John Thomas,Center,Right
Dijon Thompson,Small,Right
Rod Thorn,Shooting,Right
Mike Todorovich,Forward/Center,Right
Ray Tolbert,Power,Right
Anthony Tolliver,Power,Right
Sedric Toney,Point,Right
Gene Tormohlen,Center,Right
Bill Tosheff,Point,Right
George Trapp,Power,Right
John Tresvant,Power,Right
John Tschogl,Small,Right
Evan Turner,Small,Right
Jeremy Tyler,Center,Right
John Vallely,Shooting,Right
Tom Van Arsdale,Small,Right
Gene Vance,Guard/Forward,Right
Chico Vaughn,Shooting,Right
Jacque Vaughn,Point,Right
Fred Vinson,Shooting,Right
Alexander Volkov,Center,Right
Whitey Von Nieda,Guard/Forward,Right
Antoine Walker,Power,Right
Rasheed Wallace,Power,Right
Tyrone Wallace,Shooting,Left
Dwight Waller,Forward,Right
Isaac Walthour,Guard,Right
Gerry Ward,Shooting,Right
Chris Washburn,Center,Right
Jim Washington,Power,Right
Bobby Watson,Point,Right
Paul Watson,Small,Right
Spud Webb,Point,Right
Mario West,Shooting,Right
Mark West,Center,Right
John Wetzel,Shooting,Right
Ennis Whatley,Point,Right
Andrew White,Small,Right
Herb White,Point,Right
Donald Whiteside,Point,Right
Murray Wier,Guard,Right
Morlon Wiley,Point,Right
Win Wilfong,Point,Right
Lenny Wilkens,Point,Left
Damien Wilkins,Small,Right
Dominique Wilkins,Small,Right
Mike Wilks,Point,Right
Brandon Williams,Shooting,Right
Donovan Williams,Shooting,Right
Freeman Williams,Shooting,Right
Gus Williams,Point,Right
Lou Williams,Point,Right
Marvin Williams,Power,Right
Mike Williams,Power,Left
Milt Williams,Point,Right
Ray Williams,Point,Right
Shammond Williams,Point,Right
Shelden Williams,Power,Right
Sly Williams,Small,Left
Kevin Willis,Power,Right
Bill Willoughby,Small,Right
Bob Wilson,Point,Right
Michael Wilson,Shooting,Right
Rick Wilson,Shooting,Right
Trevor Wilson,Power,Right
Randy Wittman,Shooting,Right
Al Wood,Shooting,Right
Leon Wood,Point,Right
Haywoode Workman,Point,Right
Mark Workman,Power,Right
Tom Workman,Forward/Center,Right
Delon Wright,Point,Right
Howard Wright,Power,Right
Lorenzen Wright,Center,Right
Trae Young,Point,Right
Max Zaslofsky,Shooting,Right
Tyler Zeller,Center,Right
